frequency_per_day,power
0.00272975432211101,43938.65291184922
0.0027832789166622064,9472.099674578532
0.00545950864422202,7842.4131760725895
0.002676229727559814,7501.872845888485
0.002836803511213403,3794.345225599428
0.0026227051330086175,3472.3917525703696
0.002943852700315795,3421.0454353277055
0.005513033238773217,3255.3537415035225
0.0017663116201894773,3148.2465955939892
0.002890328105764599,2686.872299191696
0.0005887705400631591,2501.3550609198032
0.002997377294866992,2392.08590694519
0.005405984049670824,2375.660880504433
0.00315795107852058,2353.455436097777
0.0010704918910239255,2211.8491007445255
0.0024086067548038325,2176.165820180954
0.0004817213509607665,2172.1537352035443
0.003211475673071777,2166.2250159371024
0.010972541882995237,2104.3065400966602
0.0018198362147406734,2026.565962252048
