frequency_per_day,power
0.00272975432211101,55444.99974012194
0.0027832789166622064,10771.946636129214
0.002676229727559814,8893.888060412704
0.00545950864422202,5376.363417005406
0.002943852700315795,4614.866982748
0.002836803511213403,4435.522567462207
0.0026227051330086175,4363.337678064535
0.0004817213509607665,3858.3172309217575
0.0017663116201894773,3850.84310942439
0.002890328105764599,3767.624882015984
0.0010704918910239255,3020.845969945244
0.0005887705400631591,2967.527028361915
0.002997377294866992,2919.2750503321477
0.0005352459455119627,2889.4464787590523
0.0002140983782047851,2850.8197056061545
0.0024621313493550286,2827.4915572451187
0.0016057378365358884,2822.657913460006
0.0036931970240325434,2581.1471084224763
0.0018198362147406734,2576.6045518046844
0.001338114863779907,2459.653269462394
