frequency_per_day,power
0.00272975432211101,49748.694194096715
0.0027832789166622064,9540.116350960598
0.002676229727559814,8397.672475841979
0.00016057378365358883,5147.933346730237
0.002836803511213403,4443.58845239999
0.00545950864422202,4379.382846555447
0.002943852700315795,4223.581120574662
0.00010704918910239256,4016.8938123622293
0.0002140983782047851,3916.5881848474314
0.0026227051330086175,3789.983774151918
0.0004817213509607665,3670.0438795397145
5.352459455119628e-05,3318.8048177188807
0.0017663116201894773,3268.169019907262
0.002890328105764599,3098.175314232021
0.0005352459455119627,2766.798999902146
0.002997377294866992,2733.956028043568
0.0010704918910239255,2615.0934946695324
0.0024621313493550286,2523.5838133171515
0.003050901889418188,2328.2518072189528
0.0005887705400631591,2224.2769674443393
