frequency_per_day,power
0.00272975432211101,40705.9611194258
0.0027832789166622064,7498.373000833303
0.002676229727559814,7311.2036450327405
0.00545950864422202,3895.010422652136
0.002943852700315795,3612.2668378753415
0.0026227051330086175,3452.6919162949575
0.002836803511213403,3409.3842410770944
0.002890328105764599,3083.0918679021784
0.0004817213509607665,3023.523967721509
0.0017663116201894773,2916.949337466567
0.002997377294866992,2764.2764810677986
0.0005887705400631591,2606.1776615214235
0.0005352459455119627,2533.6238688512653
0.003211475673071777,2117.88036147181
0.0016057378365358884,2018.8915866194216
0.00032114756730717767,1943.6005426077886
0.0024621313493550286,1933.038266972109
0.005513033238773217,1875.2489186546027
0.0010704918910239255,1874.4423999150426
0.003050901889418188,1809.7900822892937
